INFO 2025-06-14 11:25:47,026 views 13216 12108 Уведомление о файле 'uploads/test_file_W4JtGx3.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:25:47,027 views 13216 12108 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_W4JtGx3.txt' через API.
INFO 2025-06-14 11:25:47,520 views 13216 12108 Уведомление о файле 'uploads/test_file_gWcN0u1.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:25:47,520 views 13216 12108 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_gWcN0u1.txt' через API.
INFO 2025-06-14 11:25:47,522 views 13216 12108 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:25:47,979 views 13216 12108 Уведомление о файле 'uploads/test_file_pcppzcN.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:25:47,979 views 13216 12108 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_pcppzcN.txt' через API.
INFO 2025-06-14 11:25:47,983 views 13216 12108 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:25:47,986 views 13216 12108 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:25:47,991 views 13216 12108 API: Уведомление о замене файла 'uploads/test_file_pcppzcN.txt' на 'uploads/updated_test_file_E3a2wKK.txt' успешно отправлено.
INFO 2025-06-14 11:25:48,457 views 13216 12108 Уведомление о файле 'uploads/test_file_nRRYTH9.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:25:48,457 views 13216 12108 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_nRRYTH9.txt' через API.
INFO 2025-06-14 11:25:48,459 views 13216 12108 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:25:48,461 views 13216 12108 API: Уведомление об удалении файла 'uploads/test_file_nRRYTH9.txt' успешно отправлено.
INFO 2025-06-14 11:25:48,935 views 13216 12108 Уведомление о файле 'uploads/dummy_UbacZTa.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:25:49,887 views 13216 12108 Отчет на почту test@example.com успешно отправлен пользователем testadmin.
INFO 2025-06-14 11:26:21,036 views 15548 20616 Уведомление о файле 'uploads/test_file_rrTVRUL.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:26:21,036 views 15548 20616 Пользователь testadmin успешно загрузил файл 'uploads/test_file_rrTVRUL.txt'.
INFO 2025-06-14 11:26:21,496 views 15548 20616 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:26:21,964 views 15548 20616 Уведомление о файле 'uploads/test_file_yM9Z06S.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:26:21,965 views 15548 20616 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_yM9Z06S.txt' через API.
INFO 2025-06-14 11:26:22,438 views 15548 20616 Уведомление о файле 'uploads/test_file_x4VRVdo.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:26:22,438 views 15548 20616 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_x4VRVdo.txt' через API.
